	wrapperType	artistType	artistName	artistLinkUrl	artistId	amgArtistId	primaryGenreName	primaryGenreId	collectionType	collectionId	collectionName	collectionCensoredName	artistViewUrl	collectionViewUrl	artworkUrl60	artworkUrl100	collectionPrice	collectionExplicitness	trackCount	copyright	country	currency	releaseDate
31	collection		Ella Fitzgerald & Louis Armstrong		73568	6503.0	Jazz		Album	1445098984.0	20th Century Masters / The Millennium Collection: The Best of Ella Fitzgerald and Louis Armstrong	20th Century Masters / The Millennium Collection: The Best of Ella Fitzgerald and Louis Armstrong	https://music.apple.com/us/artist/ella-fitzgerald/73568?uo=4	https://music.apple.com/us/album/20th-century-masters-the-millennium-collection-the/1445098984?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/9f/8d/80/9f8d80f4-4087-e142-5fca-b6a155013bd3/07UMGIM06647.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/9f/8d/80/9f8d80f4-4087-e142-5fca-b6a155013bd3/07UMGIM06647.rgb.jpg/100x100bb.jpg	7.99	notExplicit	10.0	A Verve Label Group Release; This Compilation ℗ 2007 UMG Recordings, Inc.	USA	USD	2007-06-12T07:00:00Z
32	collection		Louis Armstrong		518462	52456.0	Jazz		Album	193043791.0	The Hot Fives and Hot Sevens, Volume III	The Hot Fives and Hot Sevens, Volume III	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-hot-fives-and-hot-sevens-volume-iii/193043791?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/8a/e3/a3/mzi.rokwiykt.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/8a/e3/a3/mzi.rokwiykt.jpg/100x100bb.jpg	9.99	notExplicit	16.0	℗ 1989 CBS RECORDS INC.	USA	USD	1989-03-24T08:00:00Z
33	collection		Louis Armstrong		518462	52456.0	Jazz		Album	1445962080.0	The Definitive Collection	The Definitive Collection	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-definitive-collection/1445962080?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/4b/97/19/4b97196f-dc07-da4f-c4ec-23ebcc8a2a2e/06UMGIM12568.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/4b/97/19/4b97196f-dc07-da4f-c4ec-23ebcc8a2a2e/06UMGIM12568.rgb.jpg/100x100bb.jpg	12.99	notExplicit	23.0	A Universal Music Enterprises Release; This Compilation ℗ 2006 UMG Recordings, Inc.	USA	USD	2006-01-24T08:00:00Z
34	collection		Louis Armstrong		518462	52456.0	Jazz		Album	1744612374.0	Louis In London (Live At The BBC)	Louis In London (Live At The BBC)	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/louis-in-london-live-at-the-bbc/1744612374?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/ab/db/de/abdbde5b-05cb-d9f5-d0ae-e27f1f987b53/24UMGIM48565.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/ab/db/de/abdbde5b-05cb-d9f5-d0ae-e27f1f987b53/24UMGIM48565.rgb.jpg/100x100bb.jpg		notExplicit	13.0	A Verve Records release; ℗ 2024 BBC, under license to Verve Label Group, a division of UMG Recordings, Inc.	USA	USD	2024-07-12T07:00:00Z
35	collection		Louis Armstrong		518462	52456.0	Jazz		Album	198154274.0	The Hot Fives and Hot Sevens - Volume II	The Hot Fives and Hot Sevens - Volume II	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-hot-fives-and-hot-sevens-volume-ii/198154274?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Features/a0/39/18/dj.yzxzouhk.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Features/a0/39/18/dj.yzxzouhk.jpg/100x100bb.jpg	9.99	notExplicit	16.0	℗ Originally Released 1926, 1927 SONY BMG MUSIC ENTERTAINMENT	USA	USD	1988-08-30T07:00:00Z
36	collection		Louis Armstrong		518462	52456.0	Jazz		Album	1422000964.0	Hello, Dolly! (Remastered)	Hello, Dolly! (Remastered)	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/hello-dolly-remastered/1422000964?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/d5/e4/d3/d5e4d368-71bd-d5c6-e048-d2588168e151/00602567832645.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/d5/e4/d3/d5e4d368-71bd-d5c6-e048-d2588168e151/00602567832645.rgb.jpg/100x100bb.jpg	9.99	notExplicit	12.0	A Verve Label Group release; ℗ 1964 UMG Recordings, Inc.	USA	USD	1964-10-25T07:00:00Z
37	collection		Louis Armstrong		518462	52456.0	Jazz		Album	293785408.0	The Complete Hot Five and Hot Seven Recordings, Vol. 1	The Complete Hot Five and Hot Seven Recordings, Vol. 1	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-complete-hot-five-and-hot-seven-recordings-vol-1/293785408?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music5/v4/50/7c/fc/507cfcf4-6e01-bb97-b11d-4ca44b297365/dj.lclmweis.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music5/v4/50/7c/fc/507cfcf4-6e01-bb97-b11d-4ca44b297365/dj.lclmweis.jpg/100x100bb.jpg	9.99	notExplicit	20.0	℗ Originally Released 1925, 1926, (P) 2003 Sony Music Entertainment Inc.	USA	USD	2003-04-29T07:00:00Z
38	collection		Ella Fitzgerald & Louis Armstrong		73568	6503.0	Jazz		Album	1425173241.0	Our Love Is Here To Stay: Ella & Louis Sing Gershwin	Our Love Is Here To Stay: Ella & Louis Sing Gershwin	https://music.apple.com/us/artist/ella-fitzgerald/73568?uo=4	https://music.apple.com/us/album/our-love-is-here-to-stay-ella-louis-sing-gershwin/1425173241?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/b1/ae/c1/b1aec172-8337-4261-f8fc-0ba7a1a6cf71/06UMGIM08156.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/b1/ae/c1/b1aec172-8337-4261-f8fc-0ba7a1a6cf71/06UMGIM08156.rgb.jpg/100x100bb.jpg	9.99	notExplicit	16.0	A Verve Label Group release; This Compilation ℗ 1998 UMG Recordings, Inc.	USA	USD	1998-01-23T08:00:00Z
39	collection		Louis Armstrong		518462	52456.0	Jazz		Album	185583127.0	Stardust	Stardust	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/stardust/185583127?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/ea/a4/4f/mzi.hgjrbnnn.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/ea/a4/4f/mzi.hgjrbnnn.jpg/100x100bb.jpg	9.99	notExplicit	16.0	℗ Originally released 1930, 1931, 1932 Sony Music Entertainment Inc.	USA	USD	1988-09-16T07:00:00Z
40	collection		Louis Armstrong		518462	52456.0	Jazz		Album	1430170339.0	Hello Louis: The Hit Years (1963-1969)	Hello Louis: The Hit Years (1963-1969)	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/hello-louis-the-hit-years-1963-1969/1430170339?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/08/61/8f/08618f58-0645-6916-248d-4e179a23cc15/10UMGIM18453.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/08/61/8f/08618f58-0645-6916-248d-4e179a23cc15/10UMGIM18453.rgb.jpg/100x100bb.jpg	19.99	notExplicit	39.0	This Compilation ℗ 2010 The Verve Music Group, a Division of UMG Recordings, Inc.	USA	USD	2010-01-01T08:00:00Z
